id,domain,vagueness,text
N46,Medical,Medium,"35-year-old female, classical Hodgkin lymphoma stage IIA (cervical + mediastinal nodes). Mid-treatment PET after 2 cycles ABVD shows Deauville score 2 (complete metabolic response). Planning 2 more cycles then restaging."
N47,Medical,Medium,"Patient with metastatic melanoma (BRAF V600E mutated), on pembrolizumab 200mg Q3W. After cycle 4, developing immune-related colitis grade 2 with diarrhea 4-6x/day. Stool calprotectin elevated."
N48,Medical,Medium,"71-year-old female with CLL (Rai stage III), started ibrutinib 420mg daily 4 months ago. Recent CBC: WBC down from 142k to 38k, Hb stable at 10.2g/dL. No significant side effects. Surveillance CT scheduled."
N49,Medical,Medium,"7-year-old boy, newly diagnosed Wilms tumor (right kidney, ~8cm). Staging CT shows no pulmonary metastases, left kidney normal. Planning pre-operative chemotherapy (vincristine + actinomycin-D) per SIOP protocol."
N50,Medical,Medium,"60-year-old male, 8 weeks post-esophagectomy for adenocarcinoma (pT3N1). Struggling with nutrition: weight loss 8kg since surgery. Currently on jejunostomy feeds. Starting oral diet trials. Pathology showed R0 resection, 2/15 nodes positive."
N51,Medical,Medium,"52-year-old female, recurrent ovarian cancer (high-grade serous, BRCA1 mutated), platinum-sensitive relapse after 14-month remission. Considering carboplatin + paclitaxel followed by PARP inhibitor maintenance (olaparib)."
N52,Medical,Medium,"44-year-old male, oropharyngeal cancer (HPV+), p16+, T2N2bM0. Completed definitive chemoradiation (70 Gy/35 fractions, cisplatin 100mg/m² Q3W). 3-month post-treatment PET/CT scheduled. Currently managing xerostomia and dysphagia."
N53,Medical,Medium,"78-year-old male, multiple myeloma, on lenalidomide maintenance after ASCT (18 months). Creatinine rising (1.8 → 2.3 mg/dL over 3 months). M-protein stable. Considering lenalidomide dose reduction."
N54,Medical,Medium,"63-year-old female, endometrial cancer stage IA (grade 1, endometrioid). Post-hysterectomy with bilateral salpingo-oophorectomy. Negative nodes. LVSI absent. No adjuvant therapy recommended per ESMO guidelines. Surveillance every 6 months."
N55,Medical,Detailed,"58-year-old male. NSCLC adenocarcinoma, stage IVA (T3N2M1a — contralateral lobe). PD-L1 TPS 90%, EGFR/ALK/ROS1 wild-type. Started pembrolizumab 200mg Q3W 3 weeks ago. CBC: WBC 8.2, Hb 10.4 (mild anemia), platelets 210k. No significant comorbidities. Baseline CT: 4.2cm primary mass, 2 contralateral pulmonary nodules < 1cm. No liver or brain mets. First follow-up assessment requested."
N56,Medical,Detailed,"66-year-old female, locally advanced pancreatic ductal adenocarcinoma (T4N1M0, borderline resectable per NCCN). Completed 4 cycles FOLFIRINOX. CA 19-9 decreased from 2,450 to 830 U/mL. Imaging: primary tumor reduced 4.8cm → 3.5cm, SMV involvement improved. Planning restaging CT and multidisciplinary surgical reassessment. On warfarin for permanent AFib (INR 2.1), metformin 1g BD for T2DM. No dose reductions during chemo."
N57,Medical,Detailed,"42-year-old female, invasive ductal carcinoma grade 3, ER+ HER2+, T2N1M0, diagnosed at 28 weeks gestation. MDT decision: start neoadjuvant AC chemotherapy (doxorubicin 60mg/m² + cyclophosphamide 600mg/m² Q3W × 4 cycles) — safe from second trimester. Trastuzumab deferred until post-delivery due to fetal risk. Delivery planned at 37 weeks via C-section. Obstetrics involved. Patient highly anxious, requesting psychological support. Partner present at all consultations."
N58,Medical,Detailed,"70-year-old male, glioblastoma multiforme (IDH wild-type, MGMT promoter unmethylated, TERT mutated). Gross total resection 8 weeks ago. Completed Stupp protocol: temozolomide 75mg/m² daily concurrent with 60 Gy/30 fractions EBRT. MRI at 6 weeks post-RT: no clear progression (pseudoprogression vs. residual). Starting adjuvant temozolomide 200mg/m² D1-5 Q28 days. ECOG 1. Lives with wife. Driving restrictions in place (epilepsy risk — on levetiracetam 1g BD)."
N59,Medical,Detailed,"55-year-old male, gastric adenocarcinoma (HER2+ 3+, MSI-H), stage IV with peritoneal carcinomatosis and 2 liver mets. First-line nivolumab 360mg + FOLFOX Q3W: 3 cycles completed. CT shows partial response in gastric primary but new small-volume ascites. ECOG performance status declining: 1 → 2. Albumin 2.9 g/dL. Patient requesting to continue aggressive treatment. PCI score not formally assessed. MDT discussion ongoing regarding second-line options (ramucirumab + paclitaxel)."
N60,Medical,Detailed,"29-year-old female, AML (FLT3-ITD positive, NPM1 mutated). Induction 7+3 achieved complete remission (MRD negative by PCR). Consolidation: 2 cycles HiDAC (3g/m² Q12h × 6 doses) completed. Evaluating allogeneic SCT vs. continued HiDAC consolidation. Sibling donor: 8/8 HLA match identified. Patient reluctant to proceed with SCT due to employment concerns. Ferritin 2,850 μg/L. LFTs: ALT 68 U/L (mild elevation). Menstrual cycle disrupted — fertility counselling requested."
N61,Medical,Detailed,"68-year-old male, renal cell carcinoma (clear cell, VHL mutated, IMDC intermediate risk), stage IV with pulmonary mets (5 lesions, largest 1.8cm). Progressed on sunitinib after 14 months (best response: stable disease). Now 2 months into second-line cabozantinib 60mg daily. Side effects: hypertension (managed with amlodipine), palmar-plantar erythrodysesthesia grade 2 (no dose reduction yet). 3-month restaging CT planned. PSA 1.2 (irrelevant). Baseline functional status ECOG 1."
N62,Medical,Detailed,"50-year-old female, squamous cell carcinoma of the anal canal, T2N1M0 (HPV+). Planned treatment: definitive chemoradiation — 50.4 Gy in 28 fractions to pelvis + 54 Gy boost to primary (IMRT technique), concurrent mitomycin-C 10mg/m² D1 + 5-FU 1000mg/m²/day CI D1-4 and D29-32. HIV-positive: undetectable viral load, CD4 count 620 cells/μL, on bolutegravir-based ART. Infectious disease co-management. Concern: radiation-related immunosuppression and ART interactions."
N63,Medical,Detailed,"77-year-old male, CLL with confirmed Richter transformation to DLBCL (diffuse large B-cell, non-GCB subtype) on lymph node excision biopsy. Background: Rai stage IV CLL on venetoclax for 18 months prior. ECOG 3. Significant cardiac history: permanent pacemaker, LVEF 38%, NYHA class II. R-CHOP deemed too cardiotoxic. Options discussed: R-miniCHOP vs. polatuzumab vedotin + BR (pola-BR) vs. best supportive care. Goals of care conversation documented. Patient expresses wish to remain at home. Family involved."
N64,Medical,Detailed,"61-year-old female, triple-negative breast cancer (BRCA2 germline mutation found incidentally), stage IIB (T2N1). Neoadjuvant carboplatin AUC5 + paclitaxel 80mg/m² weekly ×12: partial response (pCR not achieved). Post-mastectomy pathology: ypT2ypN1mi. Adjuvant capecitabine recommended (CREATE-X data — 8 cycles, 1250mg/m² BD D1-14 Q21). Genetic counselling referral placed. Patient premenopausal, 1 child, asking about fertility preservation (too late for oocyte cryopreservation pre-chemo). Lymphedema developing — physiotherapy started."
N65,Medical,Detailed,"MDT discussion: 45-year-old male, well-differentiated neuroendocrine tumor (grade 2, Ki-67 8%), jejunal primary with extensive liver metastases (>10 lesions, bilobar). 68Ga-DOTATATE PET/CT: high somatostatin receptor expression (Krenning 3-4). Surgical debulking not recommended given extent. 14 months on lanreotide 120mg Q4W: stable disease (mRECIST). PRRT eligibility confirmed (renal function GFR 72 mL/min, bone marrow reserve adequate). Planning Lu-177 dotatate (4 cycles, 7.4 GBq each, Q8W). Patient informed of fatigue and delayed haematotoxicity risk."
N66,Payments,Ultra-vague,I want to get into DeFi but I don't really know where to start. Don't lose my money.
N67,Payments,Ultra-vague,Help me set up a way to receive money from clients online for my freelance work.
N68,Payments,Ultra-vague,I want to automate my savings and maybe invest some of it.
N69,Payments,Ultra-vague,Set up something that trades for me while I sleep. Nothing too risky.
N70,Payments,Ultra-vague,I want to get into NFT trading. Keep it simple and don't spend too much.
N71,Payments,Ultra-vague,I need to accept crypto payments for my small online shop.
N72,Payments,Ultra-vague,I want to move money automatically between my accounts when certain conditions are met.
N73,Payments,Ultra-vague,"I have some idle cash sitting in my bank. Help me make it work a bit, safely."
N74,Payments,Ultra-vague,I want to trade commodities with an automated bot. Standard risk.
N75,Payments,Ultra-vague,I need a payment solution for my new marketplace app.
N76,Payments,Medium,"I want to set up dollar-cost averaging for crypto: $500/week, split 60% BTC and 40% ETH, executed automatically on Coinbase. Stop if total portfolio drops more than 30% from all-time high."
N77,Payments,Medium,"I'm building a subscription box e-commerce. I need Stripe Billing with monthly and annual plans, proration when upgrading, automatic dunning for failed payments (3 retries over 2 weeks), and pause subscription option."
N78,Payments,Medium,"I want a limit-order-only trading account for SPY options. Max 5 contracts per trade, never hold options overnight, no trades in the first or last 30 minutes of the session. Total capital: $20,000."
N79,Payments,Medium,"My company pays 50+ contractors in 15 countries monthly. I need to minimise FX fees, handle local tax withholding where required, and keep a full audit trail of every transfer. Wire and local bank options needed."
N80,Payments,Medium,"I want a yield farming strategy on Curve Finance: $30k into the FRAX/USDC pool, auto-compound rewards daily, and auto-exit if APY drops below 5% for 3 consecutive days."
N81,Payments,Medium,"I need a tipping system for my creator platform (like Twitch). Users tip in USD, the creator receives 85% after platform fees. Creators can withdraw instantly to their Stripe connected account, minimum $10 payout."
N82,Payments,Medium,"I want to trade gold futures (GC contract) automatically. Max 2 contracts at a time, stop loss at 0.5% per trade, take profit at 1.5%, max 3 trades per day. Only trade US session (14:30–21:00 UTC). Broker: Interactive Brokers."
N83,Payments,Medium,"I need a multi-currency business account. I receive payments in USD, GBP, EUR, and AED. I want to auto-convert everything to EUR at month-end at the best available rate. No conversion during weekends."
N84,Payments,Medium,"I want to run a staking-as-a-service product. Users deposit ETH, we stake with validators via Lido, charge a 10% fee on staking rewards, and send weekly payouts to users automatically. Minimum deposit: 0.1 ETH."
N85,Payments,Medium,"I need a recurring billing system for my gym chain. Monthly membership €45, annual €480, family plan €120/month. Members can pause up to 2 months per year. Failed payment retries with SMS notification."
N86,Payments,Medium,I want to hedge my BTC holdings against downside. I hold 2 BTC and can tolerate a max 20% loss. Set up protective puts on a regulated derivatives exchange. Auto-roll monthly if still in position.
N87,Payments,Medium,"I need an automated wire transfer rule: every Friday at 17:00 UTC, move any balance above €10,000 from my business account to my savings account, leaving exactly €5,000 in the business account."
N88,Payments,Medium,"I want to manage liquidity across three stablecoin pools on Uniswap V3 (USDC/USDT, USDC/DAI, USDT/DAI). Rebalance daily to maintain equal allocation. Target 0.05% fee tier. Auto-compound earned fees."
N89,Payments,Medium,I need to build a charity donation platform. Accept credit card and crypto (BTC + ETH). Generate tax receipts automatically. Donors can set up recurring monthly donations. Funds disbursed quarterly to partner NGOs after board approval.
N90,Payments,Detailed,"Configure a fixed-income automated strategy for my $200k portfolio. Allocation: 60% US T-bills (3-6 month, via TreasuryDirect API, auto-roll at maturity), 40% investment-grade corporate bond ETF (LQD). Quarterly rebalancing. No leverage. Auto-reinvest all dividends and coupon payments. Monthly PDF report for my accountant showing yield, duration, and unrealised P&L. Custodian: Schwab. Tax-optimised for US resident (long-term capital gains preference)."
N91,Payments,Detailed,"I'm building a P2P lending platform for SMEs in Southeast Asia. Loan amounts $1,000–$50,000. Terms: 30/60/90 days. Repayment via local bank transfer or e-wallet (GCash Philippines, PromptPay Thailand). Platform fee: 2% origination + 1% monthly servicing. Credit scoring via bank statement API (Plaid equivalent for SEA). Investor dashboard: portfolio breakdown, expected returns, defaults. Registered in Singapore (MAS fintech sandbox). AML/KYC: Sumsub integration."
N92,Payments,Detailed,"Set up a forex trading bot for EUR/USD, GBP/USD, and USD/JPY. Strategy: 20/50 SMA crossover. Only trade London/New York overlap (13:00–17:00 UTC). Position size: 1% of account per trade ($150 on $15k account). Stop-loss: 30 pips, take-profit: 60 pips. Max 3 open positions simultaneously. Broker: OANDA API v20. No trading on major economic announcement days (NFP, CPI, central bank decisions). Telegram alert for every trade open/close."
N93,Payments,Detailed,"I need a crypto treasury management system for my startup. Holdings: BTC, ETH, USDC. Rules: maintain minimum 6-month runway in USDC (currently $180k). Auto-convert incoming ETH/BTC to USDC if their price drops below the 30-day moving average. All transactions above $50k require multi-sig approval (Gnosis Safe, 2-of-4 signers: CEO, CFO, and 2 board members). Monthly CFO report: unrealised P&L, runway estimate, BTC/ETH exposure. Integrate with accounting system (Xero)."
N94,Payments,Detailed,"Build a statistical arbitrage bot across Binance, Kraken, and Coinbase Pro targeting BTC/USDT price discrepancies > 0.15%. Max capital deployed per arb: $5,000. Full round-trip must complete within 500ms. Risk controls: kill switch if 3 failed attempts in 5 minutes, max daily loss $2,000, Telegram alert on every execution. Infrastructure: co-location server AWS eu-west-1. Monitoring dashboard: real-time P&L, latency metrics, success rate. All trades logged to PostgreSQL."
N95,Payments,Detailed,"Configure global payments for my B2B SaaS. Customers in US, EU, Japan, Brazil. Pricing in USD with local currency display. Tax: US state sales tax via TaxJar, EU VAT via API, JCT for Japan (10%), ISS for Brazil (2-5%). Payment methods: card (Stripe), SEPA direct debit (EU), Pix (Brazil), Konbini (Japan). Invoices in local language and currency. Stripe Billing + Avalara for tax. Daily sync to NetSuite ERP. Dunning for failed payments: 3 retries, customer email each attempt, suspend after 14 days."
N96,Payments,Detailed,"Implement a DeFi yield optimisation strategy with 100 ETH total capital. Allocation: 40 ETH → Lido staking (auto-compound stETH), 30 ETH → Aave supply as collateral, borrow 50% LTV in USDC, deploy USDC to Curve 3pool. 30 ETH reserve (no deployment). Rebalancing triggers: Aave LTV > 65% (deleverage), Lido APR drops > 2pp vs. 30-day avg (reduce allocation), Curve APY < 4% for 7 days (exit Curve). Daily report: yield breakdown, LTV, estimated APY. Emergency exit: full derisking within 4h if ETH drops >25% in 24h. Alerts via Telegram."
N97,Payments,Detailed,"I need an automated payroll system for my startup (25 employees, 8 countries: FR, UK, DE, US, SG, BR, IN, CA). Monthly pay cycle, processed on last local business day. Deductions: local pension contributions, income tax withholding, health insurance (country-specific rules). Employer tax filing automated where APIs exist. Integration: Rippling for HR headcount, Wise Business for international bank transfers. CFO approval gate for any batch > $50,000. Full audit trail, GDPR compliant. Employee payslips generated in local language."
N98,Payments,Detailed,"Configure a risk-managed crypto portfolio rebalancing system. Portfolio: $500k. Target allocation: BTC 35%, ETH 25%, SOL 10%, USDC 30%. Trigger rebalance if any asset drifts > 5% from target. Max single rebalance trade: $20,000. Slippage tolerance 0.2%. No trades during UTC 00:00–04:00. TWAP execution over 2 hours for trades > $10,000. Exchanges: Coinbase Pro and Kraken only (no Binance — compliance requirement). All rebalances logged to Airtable with timestamp, asset, quantity, price, and trigger reason. Monthly email report to investment committee."
N99,Payments,Detailed,"I'm building payment infrastructure for a Web3 gaming platform. Players buy in-game currency (GOLD): 1 USD = 100 GOLD, 1 ETH = 300,000 GOLD (live price + 5% spread). Players can cash out GOLD to ETH only (not USD), minimum 10,000 GOLD per withdrawal. AML controls: max $10,000/month per user, mandatory KYC (Onfido) above $1,000 lifetime spend. Smart contract on Polygon (upgradeable proxy). Backend: AWS. Regulatory framework: MiCA compliant (EU). Reserve fund: 100% of outstanding GOLD backed by ETH in multi-sig custody."
N100,Payments,Detailed,"Set up a complete trading risk management system for a family office. Account: $1M. Products: US equities and ETFs only (no options, no crypto, no leverage). Risk limits: max 5% in single stock, max 20% in single sector (GICS), max 2% daily drawdown (auto-halt + human override to resume), max 10 trades per day, no trading in first/last 10 minutes of session. Performance reporting: real-time P&L dashboard, weekly email to portfolio manager with attribution by sector, monthly report for trustee board. Custodian: Interactive Brokers via IBKR API. Compliance: all orders stored for SEC audit trail, 7-year retention policy."
