prompt_id,domain,vagueness,text,char_len,word_count,dup_text_with,final_cov,n_turns,realistic,domain_unambiguous,vagueness_label_ok,taxonomy_covers_intent,oracle_consistent,edge_case_flag,reviewer_verdict,reviewer_note
N17,Consulting,Medium,"I'm launching a job board for tech startups. Companies post roles, candidates apply with their LinkedIn or a CV upload, and hiring managers get an applicant dashboard. Email alerts for new applications.",202,32,,0.908,7,,,,,,,,
N18,Consulting,Medium,"I need an expense management tool for my 20-person company. Employees upload receipts, their manager approves, and the finance team exports to Excel. Monthly budget reports per team.",182,28,,0.9387,8,,,,,,,,
N19,Consulting,Medium,I want a delivery tracking app for my local courier business. Drivers have a mobile app to mark deliveries done and capture signatures. Customers get an SMS link to track their parcel in real time.,197,35,,0.9284,6,,,,,,,,
N20,Consulting,Medium,"I'm building an online coding bootcamp platform. I need video lessons, interactive coding exercises, quizzes, a leaderboard, and a certificate generator when students complete a module.",185,26,,0.9387,10,,,,,,,,
N21,Consulting,Medium,"I want to build a community forum for indie game developers. Users create topics, vote on posts, showcase their games with screenshots, and get badges for contributions. Moderation tools needed.",194,30,,0.9387,10,,,,,,,,
N22,Consulting,Detailed,"I'm launching a B2C subscription box for organic skincare. Monthly and quarterly plans at €45/€120. Customers take a skin-type quiz at signup to personalise boxes. Referral program: €10 credit per referred friend who subscribes. Shopify storefront, Recharge for subscriptions, Klaviyo for email flows. Need a dashboard showing churn rate, LTV, and box contents performance. Target: French market first.",402,58,,0.908,7,,,,,,,,
N23,Consulting,Detailed,"I need a patient portal for our private clinic. Patients can message their doctor securely, book appointments, view lab results and prescriptions, and fill pre-consultation forms. Must be HIPAA-compliant (EU equivalent: RGPD healthcare). Two-factor authentication mandatory. Mobile-first. Integration with our existing Doctolib calendar and HL7 FHIR for lab data import.",370,50,,0.908,7,,,,,,,,
N24,Consulting,Detailed,"I'm building a SaaS for restaurant chains with 10+ locations. Features: centralised inventory management with automatic low-stock alerts, staff scheduling with shift swaps, daily sales sync from POS (Toast and Lightspeed), and a GM performance dashboard. Multi-tenant architecture so each chain has isolated data. Pricing: €199/location/month. Launch in 6 months.",363,50,,0.9387,6,,,,,,,,
N25,Consulting,Detailed,"We're building a B2B procurement platform for mid-sized manufacturers. Buyers request quotes from multiple suppliers, compare responses, and approve POs with a 3-step approval workflow. Integration with SAP ERP via REST API. Suppliers have a vendor portal. All documents (POs, invoices, delivery notes) stored with version control. GDPR compliant. Audit log for all actions. SOC 2 Type II certification required.",412,60,,0.908,7,,,,,,,,
N26,Consulting,Detailed,"I need a fintech dashboard for retail investors. Real-time portfolio tracking with P&L, allocation breakdown by sector/geography/asset class. Integrated news feed filtered by holdings. Stock screener with 30+ filters. Watchlist with price alerts. Brokerage integration: Interactive Brokers and Degiro via OAuth. User authentication with biometrics on mobile. Free tier (3 portfolios) and Pro at €15/month (unlimited). GDPR, no data selling.",440,60,,0.908,6,,,,,,,,
N27,Consulting,Detailed,"Our logistics company needs a platform for SME importers. Features: freight quote aggregation from 5 carriers (API integration), real-time shipment tracking, automated customs document generation (commercial invoice, packing list, bill of lading), HS code lookup, and a compliance alert system for embargoed goods. Multi-currency: EUR, USD, CNY. Customer-facing portal + internal ops dashboard. Target: 200 SME clients in Year 1.",429,60,,0.908,8,,,,,,,,
N28,Consulting,Detailed,"I'm launching a marketplace for professional services (lawyers, accountants, HR consultants) in France. Professionals create verified profiles (SIRET check, bar association number). Clients browse, read reviews, and book consultations. Payment in escrow (Mangopay), released after service confirmed. Dispute resolution workflow. SEO is critical — we need structured data markup for all profiles. Commission: 12% per booking. Legal compliance: professional liability insurance verification.",489,62,,0.9387,9,,,,,,,,
N29,Consulting,Detailed,"Our edtech startup needs a K-12 learning platform for private schools. Teacher dashboard to create assignments, track completion, and grade. Student interface with gamified progress (XP, badges, leaderboard). Parent portal to follow child's progress and message teachers. Curriculum aligned to French national curriculum (CP to Terminale). GDPR for minors (parental consent flows). LTI integration with existing school SIS (Pronote). Pricing: B2B annual license per school (€2,000-€20,000 depending on size).",508,69,,0.9387,5,,,,,,,,
N30,Consulting,Detailed,"I need a complete digital marketing infrastructure for a D2C cosmetics brand launching in France and Germany. This includes: Shopify storefront (bilingual FR/DE), Google Ads and Meta Ads tracking with server-side events (GA4 + Meta CAPI), a post-purchase email and SMS sequence (Klaviyo), influencer affiliate tracking (Impact.com), a loyalty program (points per purchase, tiered rewards), and a monthly performance dashboard showing ROAS, CAC, LTV by channel. Budget tracking: €15k/month ad spend, target CAC < €25, LTV/CAC > 4.",529,78,,0.9131,6,,,,,,,,
P01,Consulting,Ultra-vague,I want to build a website for my business.,42,9,,0.908,11,,,,,,,,
P02,Consulting,Ultra-vague,I need an app that helps people manage their tasks.,51,10,,0.9387,9,,,,,,,,
P03,Consulting,Ultra-vague,I want to sell products online.,31,6,,0.9387,10,,,,,,,,
P04,Consulting,Ultra-vague,Help me do marketing for my startup.,36,7,,0.9387,12,,,,,,,,
P05,Consulting,Ultra-vague,I want a website and some way to get more customers.,52,11,,0.9387,11,,,,,,,,
P06,Consulting,Medium,"I want to create an online store for handmade jewelry. I need product pages, a shopping cart, and something for payments. I'd like it to look clean and modern.",159,29,,0.908,9,,,,,,,,
P07,Consulting,Medium,"I'm building a SaaS tool for small accounting firms. It should let them track client invoices, send reminders, and generate monthly reports. I want a subscription model.",169,27,,0.9387,9,,,,,,,,
P08,Consulting,Medium,"I need a website for my restaurant in Paris. It should show the menu, allow table reservations, and have a contact page. We post a lot on Instagram so maybe something for that too.",180,34,,0.908,8,,,,,,,,
P09,Consulting,Medium,I want to run a digital marketing campaign for my new fitness app. The target is people aged 25–40 who like running. I want to use Instagram and Google Ads.,156,30,,0.9387,10,,,,,,,,
P10,Consulting,Medium,"I need a portfolio website to showcase my graphic design work and get freelance clients. I want a gallery, a contact form, and maybe a small blog.",146,27,,0.9387,8,,,,,,,,
P11,Consulting,Medium,"I want to build an internal dashboard for my team of 10 people to track sales leads, assign tasks, and see a pipeline overview. Nothing fancy, just functional.",159,28,,0.908,9,,,,,,,,
P12,Consulting,Medium,"I want an e-commerce site for a French bakery. It should support online ordering with delivery and pickup options, a loyalty points system, and Stripe for payments.",164,27,,0.908,8,,,,,,,,
P13,Consulting,Medium,"I want to build a community platform for indie makers — a place to share projects, get feedback, and connect with other builders. Think Product Hunt but smaller and more personal.",179,31,,0.9387,9,,,,,,,,
P14,Consulting,Medium,"I need to set up email marketing for my online store. I want welcome sequences, abandoned cart emails, and a weekly newsletter. My list is around 2,000 subscribers.",164,28,,0.9387,11,,,,,,,,
P15,Consulting,Medium,"I want to build an MVP for a mobile app that connects dog owners with local dog walkers. Users should be able to post a request, walkers apply, and payment happens in the app.",175,34,,0.908,7,,,,,,,,
P16,Consulting,Detailed,"I want to build a multi-vendor e-commerce marketplace for vintage clothing in France. It needs seller registration with ID verification, a product listing system with photos and condition ratings, Stripe Connect for split payments, a review system, and a buyer dispute mechanism. Target is 18–35 year olds. I want it to work great on mobile. SEO is important. I need an admin dashboard to manage sellers and resolve disputes. Budget is flexible but I want to launch in 4 months.",478,80,,0.9438,3,,,,,,,,
P17,Consulting,Detailed,"I'm launching a SaaS product for freelance translators. It manages projects, tracks word counts and deadlines, and generates invoices automatically. I want a free trial, then €29/month. My launch plan is to target LinkedIn groups for translators and run a ProductHunt launch. I need a landing page, onboarding emails, and a referral program.",341,53,,0.9387,10,,,,,,,,
P18,Consulting,Detailed,"Our consulting firm needs a complete website redesign. We have 5 service lines, a team of 30, and about 40 case studies we want to feature. The new site needs to feel premium, load fast, and be easy for our non-technical team to update. We use HubSpot for CRM and want the contact forms to sync with it. We also want a blog and maybe a resources section with downloadable white papers.",385,72,,0.9029,6,,,,,,,,
P19,Consulting,Detailed,"We're a B2B cybersecurity company targeting CTOs and IT directors at mid-sized companies (50–500 employees) in Germany. We want to run a 3-month demand generation campaign combining LinkedIn ads, a thought leadership content series (5 articles), a webinar, and a gated whitepaper. Goal is 50 qualified leads per month with a CPL under €150.",340,54,,0.9387,7,,,,,,,,
P20,Consulting,Detailed,"I want to build both a website and a mobile app for a home cleaning service. The website should explain the service and let people book. The app is for cleaners — they see their daily schedule, mark jobs complete, and get paid weekly. Customers can rate cleaners. I also want push notifications for booking confirmations and reminders.",335,58,,0.908,6,,,,,,,,
N31,Medical,Ultra-vague,Patient has prostate cancer. On hormone therapy. Seems to be doing fine.,72,12,,0.901,9,,,,,,,,
N32,Medical,Ultra-vague,Got a referral for a patient with possible lymphoma. Biopsy not done yet.,73,13,,0.8614,15,,,,,,,,
N33,Medical,Ultra-vague,"Post-op patient, head and neck. Need to plan follow-up.",55,9,,0.9356,10,,,,,,,,
N34,Medical,Ultra-vague,"Young patient, suspected leukemia. Parents very anxious. Need next steps.",73,10,,0.901,10,,,,,,,,
N35,Medical,Ultra-vague,Patient finished radiation last month. Now in surveillance. Everything looks okay.,82,11,,0.9356,12,,,,,,,,
N36,Medical,Ultra-vague,Elderly patient with colon cancer. He doesn't want aggressive treatment.,72,10,,0.9307,13,,,,,,,,
N37,Medical,Ultra-vague,Patient on myeloma treatment. Bone pain is better. Monthly infusions ongoing.,77,11,,0.901,10,,,,,,,,
N38,Medical,Ultra-vague,"New patient, thyroid cancer, very early stage. Labs all normal. What do we do?",78,14,,0.901,12,,,,,,,,
N39,Medical,Ultra-vague,Patient has a brain tumor. Currently stable on steroids. Follow-up needed.,74,11,,0.9356,10,,,,,,,,
N40,Medical,Ultra-vague,Patient diagnosed with ovarian cancer. Just told the family. Next steps unclear.,80,12,,0.901,11,,,,,,,,
N41,Medical,Medium,"55-year-old male, stage III colon cancer (T3N2M0). Completed 8 cycles of FOLFOX adjuvant chemotherapy 4 months ago. Now starting surveillance: CT every 6 months, CEA monthly. No current symptoms.",195,29,,0.9356,9,,,,,,,,
N42,Medical,Medium,"Patient with EGFR-mutant NSCLC (exon 19 deletion), stage IVB, on osimertinib 80mg daily. 6-month restaging CT shows stable disease, no new lesions. Tolerating treatment well, mild diarrhea grade 1.",197,29,,0.9356,7,,,,,,,,
N43,Medical,Medium,"48-year-old female, cervical cancer stage IB2, HPV-positive. Planning concurrent chemoradiation: cisplatin weekly + pelvic EBRT (45 Gy/25 fractions) followed by brachytherapy boost. No prior treatment.",201,25,,0.901,8,,,,,,,,
N44,Medical,Medium,"Patient post-allogeneic stem cell transplant for AML, day +120. Developing signs of mild skin GVHD (grade I). Currently on tacrolimus and methylprednisolone. CMV monitoring negative. Chimerism 98%.",197,27,,0.901,10,,,,,,,,
N45,Medical,Medium,"67-year-old male, urothelial carcinoma, underwent radical cystectomy 6 months ago (pT3N1). Started adjuvant nivolumab 3 months ago. Recent CT: no evidence of recurrence. PSA undetectable. Tolerating immunotherapy.",213,27,,0.901,4,,,,,,,,
N46,Medical,Medium,"35-year-old female, classical Hodgkin lymphoma stage IIA (cervical + mediastinal nodes). Mid-treatment PET after 2 cycles ABVD shows Deauville score 2 (complete metabolic response). Planning 2 more cycles then restaging.",220,30,,0.901,6,,,,,,,,
N47,Medical,Medium,"Patient with metastatic melanoma (BRAF V600E mutated), on pembrolizumab 200mg Q3W. After cycle 4, developing immune-related colitis grade 2 with diarrhea 4-6x/day. Stool calprotectin elevated.",192,25,,0.901,11,,,,,,,,
N48,Medical,Medium,"71-year-old female with CLL (Rai stage III), started ibrutinib 420mg daily 4 months ago. Recent CBC: WBC down from 142k to 38k, Hb stable at 10.2g/dL. No significant side effects. Surveillance CT scheduled.",206,33,,0.901,5,,,,,,,,
N49,Medical,Medium,"7-year-old boy, newly diagnosed Wilms tumor (right kidney, ~8cm). Staging CT shows no pulmonary metastases, left kidney normal. Planning pre-operative chemotherapy (vincristine + actinomycin-D) per SIOP protocol.",212,27,,0.8564,15,,,,,,,,
N50,Medical,Medium,"60-year-old male, 8 weeks post-esophagectomy for adenocarcinoma (pT3N1). Struggling with nutrition: weight loss 8kg since surgery. Currently on jejunostomy feeds. Starting oral diet trials. Pathology showed R0 resection, 2/15 nodes positive.",241,31,,0.901,8,,,,,,,,
N51,Medical,Medium,"52-year-old female, recurrent ovarian cancer (high-grade serous, BRCA1 mutated), platinum-sensitive relapse after 14-month remission. Considering carboplatin + paclitaxel followed by PARP inhibitor maintenance (olaparib).",221,24,,0.901,6,,,,,,,,
N52,Medical,Medium,"44-year-old male, oropharyngeal cancer (HPV+), p16+, T2N2bM0. Completed definitive chemoradiation (70 Gy/35 fractions, cisplatin 100mg/m² Q3W). 3-month post-treatment PET/CT scheduled. Currently managing xerostomia and dysphagia.",229,25,,0.9356,8,,,,,,,,
N53,Medical,Medium,"78-year-old male, multiple myeloma, on lenalidomide maintenance after ASCT (18 months). Creatinine rising (1.8 → 2.3 mg/dL over 3 months). M-protein stable. Considering lenalidomide dose reduction.",197,26,,0.901,6,,,,,,,,
N54,Medical,Medium,"63-year-old female, endometrial cancer stage IA (grade 1, endometrioid). Post-hysterectomy with bilateral salpingo-oophorectomy. Negative nodes. LVSI absent. No adjuvant therapy recommended per ESMO guidelines. Surveillance every 6 months.",239,28,,0.9356,6,,,,,,,,
N55,Medical,Detailed,"58-year-old male. NSCLC adenocarcinoma, stage IVA (T3N2M1a — contralateral lobe). PD-L1 TPS 90%, EGFR/ALK/ROS1 wild-type. Started pembrolizumab 200mg Q3W 3 weeks ago. CBC: WBC 8.2, Hb 10.4 (mild anemia), platelets 210k. No significant comorbidities. Baseline CT: 4.2cm primary mass, 2 contralateral pulmonary nodules < 1cm. No liver or brain mets. First follow-up assessment requested.",385,54,,0.9356,3,,,,,,,,
N56,Medical,Detailed,"66-year-old female, locally advanced pancreatic ductal adenocarcinoma (T4N1M0, borderline resectable per NCCN). Completed 4 cycles FOLFIRINOX. CA 19-9 decreased from 2,450 to 830 U/mL. Imaging: primary tumor reduced 4.8cm → 3.5cm, SMV involvement improved. Planning restaging CT and multidisciplinary surgical reassessment. On warfarin for permanent AFib (INR 2.1), metformin 1g BD for T2DM. No dose reductions during chemo.",424,58,,0.901,1,,,,,,,,
N57,Medical,Detailed,"42-year-old female, invasive ductal carcinoma grade 3, ER+ HER2+, T2N1M0, diagnosed at 28 weeks gestation. MDT decision: start neoadjuvant AC chemotherapy (doxorubicin 60mg/m² + cyclophosphamide 600mg/m² Q3W × 4 cycles) — safe from second trimester. Trastuzumab deferred until post-delivery due to fetal risk. Delivery planned at 37 weeks via C-section. Obstetrics involved. Patient highly anxious, requesting psychological support. Partner present at all consultations.",470,63,,0.9406,11,,,,,,,,
N58,Medical,Detailed,"70-year-old male, glioblastoma multiforme (IDH wild-type, MGMT promoter unmethylated, TERT mutated). Gross total resection 8 weeks ago. Completed Stupp protocol: temozolomide 75mg/m² daily concurrent with 60 Gy/30 fractions EBRT. MRI at 6 weeks post-RT: no clear progression (pseudoprogression vs. residual). Starting adjuvant temozolomide 200mg/m² D1-5 Q28 days. ECOG 1. Lives with wife. Driving restrictions in place (epilepsy risk — on levetiracetam 1g BD).",460,63,,0.901,2,,,,,,,,
N59,Medical,Detailed,"55-year-old male, gastric adenocarcinoma (HER2+ 3+, MSI-H), stage IV with peritoneal carcinomatosis and 2 liver mets. First-line nivolumab 360mg + FOLFOX Q3W: 3 cycles completed. CT shows partial response in gastric primary but new small-volume ascites. ECOG performance status declining: 1 → 2. Albumin 2.9 g/dL. Patient requesting to continue aggressive treatment. PCI score not formally assessed. MDT discussion ongoing regarding second-line options (ramucirumab + paclitaxel).",480,66,,0.9307,1,,,,,,,,
N60,Medical,Detailed,"29-year-old female, AML (FLT3-ITD positive, NPM1 mutated). Induction 7+3 achieved complete remission (MRD negative by PCR). Consolidation: 2 cycles HiDAC (3g/m² Q12h × 6 doses) completed. Evaluating allogeneic SCT vs. continued HiDAC consolidation. Sibling donor: 8/8 HLA match identified. Patient reluctant to proceed with SCT due to employment concerns. Ferritin 2,850 μg/L. LFTs: ALT 68 U/L (mild elevation). Menstrual cycle disrupted — fertility counselling requested.",472,65,,0.9307,5,,,,,,,,
N61,Medical,Detailed,"68-year-old male, renal cell carcinoma (clear cell, VHL mutated, IMDC intermediate risk), stage IV with pulmonary mets (5 lesions, largest 1.8cm). Progressed on sunitinib after 14 months (best response: stable disease). Now 2 months into second-line cabozantinib 60mg daily. Side effects: hypertension (managed with amlodipine), palmar-plantar erythrodysesthesia grade 2 (no dose reduction yet). 3-month restaging CT planned. PSA 1.2 (irrelevant). Baseline functional status ECOG 1.",482,65,,0.9356,1,,,,,,,,
N62,Medical,Detailed,"50-year-old female, squamous cell carcinoma of the anal canal, T2N1M0 (HPV+). Planned treatment: definitive chemoradiation — 50.4 Gy in 28 fractions to pelvis + 54 Gy boost to primary (IMRT technique), concurrent mitomycin-C 10mg/m² D1 + 5-FU 1000mg/m²/day CI D1-4 and D29-32. HIV-positive: undetectable viral load, CD4 count 620 cells/μL, on bolutegravir-based ART. Infectious disease co-management. Concern: radiation-related immunosuppression and ART interactions.",467,62,,0.9208,10,,,,,,,,
N63,Medical,Detailed,"77-year-old male, CLL with confirmed Richter transformation to DLBCL (diffuse large B-cell, non-GCB subtype) on lymph node excision biopsy. Background: Rai stage IV CLL on venetoclax for 18 months prior. ECOG 3. Significant cardiac history: permanent pacemaker, LVEF 38%, NYHA class II. R-CHOP deemed too cardiotoxic. Options discussed: R-miniCHOP vs. polatuzumab vedotin + BR (pola-BR) vs. best supportive care. Goals of care conversation documented. Patient expresses wish to remain at home. Family involved.",510,73,,0.9059,5,,,,,,,,
N64,Medical,Detailed,"61-year-old female, triple-negative breast cancer (BRCA2 germline mutation found incidentally), stage IIB (T2N1). Neoadjuvant carboplatin AUC5 + paclitaxel 80mg/m² weekly ×12: partial response (pCR not achieved). Post-mastectomy pathology: ypT2ypN1mi. Adjuvant capecitabine recommended (CREATE-X data — 8 cycles, 1250mg/m² BD D1-14 Q21). Genetic counselling referral placed. Patient premenopausal, 1 child, asking about fertility preservation (too late for oocyte cryopreservation pre-chemo). Lymphedema developing — physiotherapy started.",539,64,,0.9307,5,,,,,,,,
N65,Medical,Detailed,"MDT discussion: 45-year-old male, well-differentiated neuroendocrine tumor (grade 2, Ki-67 8%), jejunal primary with extensive liver metastases (>10 lesions, bilobar). 68Ga-DOTATATE PET/CT: high somatostatin receptor expression (Krenning 3-4). Surgical debulking not recommended given extent. 14 months on lanreotide 120mg Q4W: stable disease (mRECIST). PRRT eligibility confirmed (renal function GFR 72 mL/min, bone marrow reserve adequate). Planning Lu-177 dotatate (4 cycles, 7.4 GBq each, Q8W). Patient informed of fatigue and delayed haematotoxicity risk.",560,72,,0.9208,2,,,,,,,,
P21,Medical,Ultra-vague,Patient has lung cancer. Started chemo last month. Follow-up in 6 weeks.,72,12,,0.9356,15,,,,,,,,
P22,Medical,Ultra-vague,Patient underwent surgery. Recovery going well. Will check labs next visit.,75,11,,0.901,12,,,,,,,,
P23,Medical,Medium,"MRI shows a lesion in the left temporal lobe, approximately 2.3 cm. No midline shift. Patient complains of occasional headaches and some memory difficulty.",155,24,,0.6485,15,,,,,,,,
P24,Medical,Medium,"Patient is a 58-year-old woman diagnosed with stage II breast cancer, ER-positive, HER2-negative. She completed 6 cycles of AC-T chemotherapy 8 months ago. No current active treatment. She's asking about hormone therapy options.",228,33,,0.9307,8,,,,,,,,
P25,Medical,Medium,We are planning to start radiotherapy for this patient next week. The target volume includes the primary tumor and regional nodes. We'll do 25 fractions. Patient has some cardiac history so we'll need to be careful with dosing on the left side.,244,42,,0.901,12,,,,,,,,
P26,Medical,Detailed,"Patient is a 72-year-old male with a history of type 2 diabetes (on metformin 1g twice daily), hypertension (lisinopril 10mg), and was recently diagnosed with non-Hodgkin lymphoma, diffuse large B-cell type, stage III-A. He's being evaluated for R-CHOP. His last HbA1c was 7.8%. Renal function: creatinine 1.4 mg/dL. No known drug allergies.",341,52,,0.9208,9,,,,,,,,
P27,Medical,Medium,"A 9-year-old boy with ALL, currently in maintenance phase. He's on 6-MP and weekly methotrexate. His recent CBC showed neutropenia (ANC 650). His parents are concerned about school attendance and infection risk.",211,32,,0.9307,11,,,,,,,,
P28,Medical,Medium,"Patient with stage IV pancreatic cancer, metastatic to liver. Performance status declining — ECOG 3. Family has been informed of prognosis. Patient wishes to avoid hospitalization and wants to remain at home. Pain currently managed with oxycodone 10mg q6h but breakthrough pain is increasing.",292,44,,0.9307,7,,,,,,,,
P29,Medical,Detailed,"Patient completed 4 cycles of FOLFOX for colorectal cancer. CT scan shows partial response — main lesion reduced from 4.1cm to 2.8cm. Two small liver metastases unchanged. Planning surgical consultation for potential resection. Patient tolerating treatment well, mild peripheral neuropathy grade 1.",298,42,,0.901,9,,,,,,,,
P30,Medical,Ultra-vague,Saw the patient today. Things look okay. We'll continue the current plan and see how the numbers look at the next visit. She mentioned some fatigue but I think that's expected. Let's check the usual labs.,204,36,,0.7228,15,,,,,,,,
P31,Medical,Medium,"Patient presents with a suspicious lesion on the right forearm, approximately 1.8cm, irregular border, mixed pigmentation. Biopsy pending. Patient has a family history of melanoma. No prior skin cancers. Sun exposure history: significant (outdoor worker for 20 years).",268,38,,0.9158,14,,,,,,,,
P32,Medical,Medium,"For this patient we are considering two options: continuing current hormonal therapy or switching to a CDK4/6 inhibitor given recent progression markers. Insurance situation is unclear. Patient is 67, lives alone, has mild cognitive impairment. Caregiver involvement will be important for compliance.",300,42,,0.901,7,,,,,,,,
P33,Medical,Detailed,"Patient: 45-year-old female. Diagnosis: Triple-negative breast cancer, stage IIB (T2N1M0). Treatment history: 4 cycles neoadjuvant chemotherapy (paclitaxel + carboplatin), then modified radical mastectomy with sentinel node biopsy (2/4 nodes positive). Adjuvant chemotherapy completed (capecitabine, 8 cycles). Currently disease-free at 18-month follow-up. Surveillance: clinical exam every 3 months, annual mammography of remaining breast, annual chest CT. No current medications beyond vitamin D supplementation. Patient reports good quality of life, some arm lymphedema, enrolled in physical therapy.",603,75,,0.9257,5,,,,,,,,
P34,Medical,Detailed,"Starting radiation for this patient Monday. He has prostate cancer, Gleason 7 (4+3), T2cN0M0. We're going with moderately hypofractionated IMRT — 60 Gy in 20 fractions. He's also on ADT (leuprolide, started 3 months ago, will continue 18 months total). PSA at last check was 0.8. He's otherwise healthy, no significant comorbidities. Main concern is rectal toxicity given prior sigmoid surgery.",394,61,,0.9208,4,,,,,,,,
P35,Medical,Detailed,"MDT discussion for patient with hepatocellular carcinoma. Background: cirrhosis (Child-Pugh B7), HCV-related, treated with sofosbuvir 2 years ago (SVR achieved). Single lesion 3.2cm segment 6, AFP 320 ng/mL. BCLC stage A. Liver transplant team says he qualifies for Milan criteria. Surgical resection also discussed but hepatic reserve is marginal. Locoregional option: TACE or ablation as bridge to transplant. Decision: refer to transplant list, TACE as bridge. Patient informed and agreeable.",495,70,,0.9307,4,,,,,,,,
N100,Payments,Detailed,"Set up a complete trading risk management system for a family office. Account: $1M. Products: US equities and ETFs only (no options, no crypto, no leverage). Risk limits: max 5% in single stock, max 20% in single sector (GICS), max 2% daily drawdown (auto-halt + human override to resume), max 10 trades per day, no trading in first/last 10 minutes of session. Performance reporting: real-time P&L dashboard, weekly email to portfolio manager with attribution by sector, monthly report for trustee board. Custodian: Interactive Brokers via IBKR API. Compliance: all orders stored for SEC audit trail, 7-year retention policy.",625,98,,0.8131,2,,,,,,,,
N66,Payments,Ultra-vague,I want to get into DeFi but I don't really know where to start. Don't lose my money.,84,18,,0.8505,4,,,,,,,,
N67,Payments,Ultra-vague,Help me set up a way to receive money from clients online for my freelance work.,80,16,,0.8318,6,,,,,,,,
N68,Payments,Ultra-vague,I want to automate my savings and maybe invest some of it.,58,12,,0.8505,5,,,,,,,,
N69,Payments,Ultra-vague,Set up something that trades for me while I sleep. Nothing too risky.,69,13,,0.8972,5,,,,,,,,
N70,Payments,Ultra-vague,I want to get into NFT trading. Keep it simple and don't spend too much.,72,15,,0.8972,5,,,,,,,,
N71,Payments,Ultra-vague,I need to accept crypto payments for my small online shop.,58,11,,0.7757,5,,,,,,,,
N72,Payments,Ultra-vague,I want to move money automatically between my accounts when certain conditions are met.,87,14,,0.8972,6,,,,,,,,
N73,Payments,Ultra-vague,"I have some idle cash sitting in my bank. Help me make it work a bit, safely.",77,17,,0.8505,3,,,,,,,,
N74,Payments,Ultra-vague,I want to trade commodities with an automated bot. Standard risk.,65,11,,0.8972,4,,,,,,,,
N75,Payments,Ultra-vague,I need a payment solution for my new marketplace app.,53,10,,0.8505,5,,,,,,,,
N76,Payments,Medium,"I want to set up dollar-cost averaging for crypto: $500/week, split 60% BTC and 40% ETH, executed automatically on Coinbase. Stop if total portfolio drops more than 30% from all-time high.",188,31,,0.8131,5,,,,,,,,
N77,Payments,Medium,"I'm building a subscription box e-commerce. I need Stripe Billing with monthly and annual plans, proration when upgrading, automatic dunning for failed payments (3 retries over 2 weeks), and pause subscription option.",217,32,,0.8505,5,,,,,,,,
N78,Payments,Medium,"I want a limit-order-only trading account for SPY options. Max 5 contracts per trade, never hold options overnight, no trades in the first or last 30 minutes of the session. Total capital: $20,000.",197,33,,0.7757,4,,,,,,,,
N79,Payments,Medium,"My company pays 50+ contractors in 15 countries monthly. I need to minimise FX fees, handle local tax withholding where required, and keep a full audit trail of every transfer. Wire and local bank options needed.",212,36,,0.8692,5,,,,,,,,
N80,Payments,Medium,"I want a yield farming strategy on Curve Finance: $30k into the FRAX/USDC pool, auto-compound rewards daily, and auto-exit if APY drops below 5% for 3 consecutive days.",168,28,,0.8318,3,,,,,,,,
