prompt_id,domain,vagueness,annotation_tier,coverage_scorer,param_name,param_weight,scorer_status,scorer_evidence,human_status,human_notes
N12,Consulting,Medium,ambiguous,0.455,design_style,75,MENTIONED,"user-friendly, responsive, adapting its layout for various screen sizes",RESOLVED,
N12,Consulting,Medium,ambiguous,0.455,content_ready,70,MENTIONED,Can manage static website content,RESOLVED,
N12,Consulting,Medium,ambiguous,0.455,existing_branding,65,ABSENT,Not addressed,ABSENT,
N12,Consulting,Medium,ambiguous,0.455,technical_platform,60,MENTIONED,"Real Estate Listing Website, responsive for various screen sizes",RESOLVED,
N12,Consulting,Medium,ambiguous,0.455,integrations,58,MENTIONED,"does not include... payment gateways, or complex analytics",RESOLVED,
N12,Consulting,Medium,ambiguous,0.455,budget_range,55,ABSENT,Not addressed,ABSENT,
N12,Consulting,Medium,ambiguous,0.455,timeline,50,ABSENT,Not addressed,ABSENT,
N12,Consulting,Medium,ambiguous,0.455,seo_requirements,45,ABSENT,Not addressed,ABSENT,
N12,Consulting,Medium,ambiguous,0.455,user_accounts,40,RESOLVED,"three primary user roles, Requires an account and login credentials",RESOLVED,
N12,Consulting,Medium,ambiguous,0.455,content_management,35,RESOLVED,Administrators... Can manage static website content; Agents... manage listings,RESOLVED,
N12,Consulting,Medium,ambiguous,0.455,analytics_needs,30,MENTIONED,"does not include... complex analytics, for future phases",RESOLVED,
N12,Consulting,Medium,ambiguous,0.455,multilingual_support,15,ABSENT,Not addressed,ABSENT,
N12,Consulting,Medium,ambiguous,0.455,accessibility,10,ABSENT,Not addressed,ABSENT,
N06,Consulting,Ultra-vague,ambiguous,0.4192,main_content_purpose,100,RESOLVED,primary goal is to provide a centralized system,RESOLVED,
N06,Consulting,Ultra-vague,ambiguous,0.4192,target_audience,95,RESOLVED,"Sales Representatives (3-5 users), Sales Manager (1 user), Administrator (1 user)",RESOLVED,
N06,Consulting,Ultra-vague,ambiguous,0.4192,pages_structure,90,RESOLVED,"User & Role Management, Lead Management, Contact Management, Account Management",RESOLVED,
N06,Consulting,Ultra-vague,ambiguous,0.4192,core_features,85,RESOLVED,"FR-UM-001, FR-LM-001, FR-CM-001, FR-AM-001 details",RESOLVED,
N06,Consulting,Ultra-vague,ambiguous,0.4192,design_style,75,ABSENT,Not addressed,ABSENT,
N06,Consulting,Ultra-vague,ambiguous,0.4192,content_ready,70,ABSENT,Not addressed,ABSENT,
N06,Consulting,Ultra-vague,ambiguous,0.4192,existing_branding,65,ABSENT,Not addressed,ABSENT,
N06,Consulting,Ultra-vague,ambiguous,0.4192,technical_platform,60,MENTIONED,implement or configure a CRM system,RESOLVED,
N06,Consulting,Ultra-vague,ambiguous,0.4192,integrations,58,ABSENT,Not addressed,ABSENT,
N06,Consulting,Ultra-vague,ambiguous,0.4192,budget_range,55,ABSENT,Not addressed,ABSENT,
N06,Consulting,Ultra-vague,ambiguous,0.4192,timeline,50,ABSENT,Not addressed,ABSENT,
N06,Consulting,Ultra-vague,ambiguous,0.4192,seo_requirements,45,ABSENT,Not addressed,ABSENT,
N06,Consulting,Ultra-vague,ambiguous,0.4192,user_accounts,40,RESOLVED,"FR-UM-001 to FR-UM-005 detail user management, roles, authentication",RESOLVED,
N06,Consulting,Ultra-vague,ambiguous,0.4192,content_management,35,ABSENT,Not addressed (in context of website content),RESOLVED,
N06,Consulting,Ultra-vague,ambiguous,0.4192,analytics_needs,30,MENTIONED,"improving sales efficiency, tracking, and reporting",RESOLVED,
N06,Consulting,Ultra-vague,ambiguous,0.4192,multilingual_support,15,ABSENT,Not addressed,ABSENT,
N06,Consulting,Ultra-vague,ambiguous,0.4192,accessibility,10,ABSENT,Not addressed,ABSENT,
P15,Consulting,Medium,ambiguous,0.5399,main_content_purpose,100,RESOLVED,connect dog owners with local dog walkers,RESOLVED,
P15,Consulting,Medium,ambiguous,0.5399,target_audience,95,RESOLVED,"Dog Owners, Dog Walkers",RESOLVED,
P15,Consulting,Medium,ambiguous,0.5399,pages_structure,90,RESOLVED,"User Management & Profiles, User Registration, Login",RESOLVED,
P15,Consulting,Medium,ambiguous,0.5399,core_features,85,RESOLVED,"post a request, walkers apply, payment, user profiles",RESOLVED,
P15,Consulting,Medium,ambiguous,0.5399,design_style,75,ABSENT,Not addressed,ABSENT,
P15,Consulting,Medium,ambiguous,0.5399,content_ready,70,ABSENT,Not addressed,ABSENT,
P15,Consulting,Medium,ambiguous,0.5399,existing_branding,65,ABSENT,Not addressed,ABSENT,
P15,Consulting,Medium,ambiguous,0.5399,technical_platform,60,RESOLVED,mobile application,RESOLVED,
P15,Consulting,Medium,ambiguous,0.5399,integrations,58,RESOLVED,"third-party authentication (Google, Apple ID), in-app payment",RESOLVED,
P15,Consulting,Medium,ambiguous,0.5399,budget_range,55,ABSENT,Not addressed,ABSENT,
P15,Consulting,Medium,ambiguous,0.5399,timeline,50,ABSENT,Not addressed,ABSENT,
P15,Consulting,Medium,ambiguous,0.5399,seo_requirements,45,ABSENT,Not addressed,ABSENT,
P15,Consulting,Medium,ambiguous,0.5399,user_accounts,40,RESOLVED,"User Registration, Login, Roles (Owner, Walker, Admin)",RESOLVED,
P15,Consulting,Medium,ambiguous,0.5399,content_management,35,ABSENT,Not addressed,ABSENT,
P15,Consulting,Medium,ambiguous,0.5399,analytics_needs,30,ABSENT,Not addressed,ABSENT,
P15,Consulting,Medium,ambiguous,0.5399,multilingual_support,15,ABSENT,Not addressed,ABSENT,
P15,Consulting,Medium,ambiguous,0.5399,accessibility,10,ABSENT,Not addressed,ABSENT,
P05,Consulting,Ultra-vague,ambiguous,0.4376,main_content_purpose,100,RESOLVED,"Establish online presence, increase customer acquisition, improve brand visibility, provide informat",RESOLVED,
P05,Consulting,Ultra-vague,ambiguous,0.4376,target_audience,95,MENTIONED,"Requires input from client, questions asked",RESOLVED,
P05,Consulting,Ultra-vague,ambiguous,0.4376,pages_structure,90,RESOLVED,"Homepage, About Us, Services/Products, Contact Us, Privacy Policy",RESOLVED,
P05,Consulting,Ultra-vague,ambiguous,0.4376,core_features,85,RESOLVED,"CMS, Responsive Design, Navigation, Contact Forms, CTAs, Social Media",RESOLVED,
P05,Consulting,Ultra-vague,ambiguous,0.4376,design_style,75,MENTIONED,"modern, user-friendly, responsive website",RESOLVED,
P05,Consulting,Ultra-vague,ambiguous,0.4376,content_ready,70,ABSENT,Not addressed,ABSENT,
P05,Consulting,Ultra-vague,ambiguous,0.4376,existing_branding,65,MENTIONED,accurately represents the client's brand,RESOLVED,
P05,Consulting,Ultra-vague,ambiguous,0.4376,technical_platform,60,RESOLVED,"CMS (e.g., WordPress, Squarespace, Shopify, custom)",RESOLVED,
P05,Consulting,Ultra-vague,ambiguous,0.4376,integrations,58,RESOLVED,Social Media Integration,RESOLVED,
P05,Consulting,Ultra-vague,ambiguous,0.4376,budget_range,55,ABSENT,Not addressed,RESOLVED,
P05,Consulting,Ultra-vague,ambiguous,0.4376,timeline,50,ABSENT,Not addressed,RESOLVED,
P05,Consulting,Ultra-vague,ambiguous,0.4376,seo_requirements,45,MENTIONED,Enhance discoverability online through search engines,RESOLVED,
P05,Consulting,Ultra-vague,ambiguous,0.4376,user_accounts,40,ABSENT,Not addressed,ABSENT,
P05,Consulting,Ultra-vague,ambiguous,0.4376,content_management,35,RESOLVED,CMS allows client to easily update content,RESOLVED,
P05,Consulting,Ultra-vague,ambiguous,0.4376,analytics_needs,30,ABSENT,Not addressed,ABSENT,
P05,Consulting,Ultra-vague,ambiguous,0.4376,multilingual_support,15,ABSENT,Not addressed,ABSENT,
P05,Consulting,Ultra-vague,ambiguous,0.4376,accessibility,10,ABSENT,Not addressed,ABSENT,
P21,Medical,Ultra-vague,clear,0.2822,primary_site,100,RESOLVED,"Diagnosis Name (e.g., ""Lung Cancer"")",RESOLVED,
P21,Medical,Ultra-vague,clear,0.2822,stage_classification,95,RESOLVED,"Severity/Stage (e.g., for cancer: Stage I, II, III, IV)",RESOLVED,
P21,Medical,Ultra-vague,clear,0.2822,treatment_received,90,RESOLVED,"Treatment Type (e.g., ""Chemotherapy"", ""Radiation"", ""Surgery"")",RESOLVED,
P21,Medical,Ultra-vague,clear,0.2822,histology_subtype,85,ABSENT,not evaluated,ABSENT,
P21,Medical,Ultra-vague,clear,0.2822,performance_status,80,ABSENT,not evaluated,ABSENT,
P21,Medical,Ultra-vague,clear,0.2822,response_to_treatment,75,ABSENT,not evaluated,ABSENT,
P21,Medical,Ultra-vague,clear,0.2822,current_medications,70,ABSENT,not evaluated,ABSENT,
P21,Medical,Ultra-vague,clear,0.2822,biomarkers,65,ABSENT,not evaluated,ABSENT,
P21,Medical,Ultra-vague,clear,0.2822,imaging_findings,60,ABSENT,not evaluated,ABSENT,
P21,Medical,Ultra-vague,clear,0.2822,comorbidities,55,ABSENT,not evaluated,ABSENT,
P21,Medical,Ultra-vague,clear,0.2822,patient_demographics,50,ABSENT,not evaluated,ABSENT,
P21,Medical,Ultra-vague,clear,0.2822,lab_values,45,ABSENT,not evaluated,ABSENT,
P21,Medical,Ultra-vague,clear,0.2822,treatment_plan,40,ABSENT,not evaluated,ABSENT,
P21,Medical,Ultra-vague,clear,0.2822,follow_up_schedule,35,ABSENT,not evaluated,ABSENT,
P21,Medical,Ultra-vague,clear,0.2822,patient_preferences,30,ABSENT,not evaluated,ABSENT,
P21,Medical,Ultra-vague,clear,0.2822,contraindications,20,ABSENT,not evaluated,ABSENT,
P21,Medical,Ultra-vague,clear,0.2822,family_history,15,ABSENT,not evaluated,ABSENT,
N42,Medical,Medium,clear,0.6337,primary_site,100,RESOLVED,NSCLC (Lung),RESOLVED,
N42,Medical,Medium,clear,0.6337,stage_classification,95,RESOLVED,stage IVB,RESOLVED,
N42,Medical,Medium,clear,0.6337,treatment_received,90,RESOLVED,osimertinib 80mg daily,RESOLVED,
N42,Medical,Medium,clear,0.6337,histology_subtype,85,RESOLVED,EGFR-mutant NSCLC,RESOLVED,
N42,Medical,Medium,clear,0.6337,performance_status,80,MENTIONED,"Tolerating treatment well, mild diarrhea grade 1",RESOLVED,
N42,Medical,Medium,clear,0.6337,response_to_treatment,75,RESOLVED,stable disease,RESOLVED,
N42,Medical,Medium,clear,0.6337,current_medications,70,RESOLVED,osimertinib 80mg daily,RESOLVED,
N42,Medical,Medium,clear,0.6337,biomarkers,65,RESOLVED,EGFR-mutant (exon 19 deletion),RESOLVED,
N42,Medical,Medium,clear,0.6337,imaging_findings,60,RESOLVED,6-month restaging CT shows stable disease,RESOLVED,
N42,Medical,Medium,clear,0.6337,comorbidities,55,ABSENT,Not addressed,ABSENT,
N42,Medical,Medium,clear,0.6337,patient_demographics,50,ABSENT,Not addressed,ABSENT,
N42,Medical,Medium,clear,0.6337,lab_values,45,ABSENT,Not addressed,ABSENT,
N42,Medical,Medium,clear,0.6337,treatment_plan,40,ABSENT,Not addressed,ABSENT,
N42,Medical,Medium,clear,0.6337,follow_up_schedule,35,ABSENT,Not addressed,ABSENT,
N42,Medical,Medium,clear,0.6337,patient_preferences,30,ABSENT,Not addressed,ABSENT,
N42,Medical,Medium,clear,0.6337,contraindications,20,ABSENT,Not addressed,ABSENT,
N42,Medical,Medium,clear,0.6337,family_history,15,ABSENT,Not addressed,ABSENT,
P31,Medical,Medium,clear,0.1139,primary_site,100,RESOLVED,right forearm,RESOLVED,
P31,Medical,Medium,clear,0.1139,stage_classification,95,ABSENT,Not addressed,ABSENT,
P31,Medical,Medium,clear,0.1139,treatment_received,90,ABSENT,Not addressed,ABSENT,
P31,Medical,Medium,clear,0.1139,histology_subtype,85,ABSENT,Biopsy pending,ABSENT,
P31,Medical,Medium,clear,0.1139,performance_status,80,ABSENT,Not addressed,ABSENT,
P31,Medical,Medium,clear,0.1139,response_to_treatment,75,ABSENT,No treatment given,ABSENT,
P31,Medical,Medium,clear,0.1139,current_medications,70,ABSENT,Not addressed,ABSENT,
P31,Medical,Medium,clear,0.1139,biomarkers,65,ABSENT,Not addressed,ABSENT,
P31,Medical,Medium,clear,0.1139,imaging_findings,60,ABSENT,Not addressed,ABSENT,
P31,Medical,Medium,clear,0.1139,comorbidities,55,ABSENT,Not addressed,ABSENT,
P31,Medical,Medium,clear,0.1139,patient_demographics,50,ABSENT,"No age, sex, or other demographics",ABSENT,
P31,Medical,Medium,clear,0.1139,lab_values,45,ABSENT,Not addressed,ABSENT,
P31,Medical,Medium,clear,0.1139,treatment_plan,40,MENTIONED,Biopsy pending,MENTIONED,
P31,Medical,Medium,clear,0.1139,follow_up_schedule,35,ABSENT,Not addressed,ABSENT,
P31,Medical,Medium,clear,0.1139,patient_preferences,30,ABSENT,Not addressed,ABSENT,
P31,Medical,Medium,clear,0.1139,contraindications,20,ABSENT,Not addressed,ABSENT,
P31,Medical,Medium,clear,0.1139,family_history,15,RESOLVED,family history of melanoma,RESOLVED,
N34,Medical,Ultra-vague,clear,0.2327,primary_site,100,RESOLVED,suspected pediatric leukemia,RESOLVED,
N34,Medical,Ultra-vague,clear,0.2327,stage_classification,95,MENTIONED,"initial diagnosis explanation, diagnostic procedures",MENTIONED,
N34,Medical,Ultra-vague,clear,0.2327,treatment_received,90,MENTIONED,"Treatment Options Overview, chemotherapy, radiation therapy",MENTIONED,
N34,Medical,Ultra-vague,clear,0.2327,histology_subtype,85,RESOLVED,"Common types (ALL, AML)",RESOLVED,
N34,Medical,Ultra-vague,clear,0.2327,performance_status,80,ABSENT,Not addressed,ABSENT,
N34,Medical,Ultra-vague,clear,0.2327,response_to_treatment,75,ABSENT,Not addressed,ABSENT,
N34,Medical,Ultra-vague,clear,0.2327,current_medications,70,ABSENT,Not addressed,ABSENT,
N34,Medical,Ultra-vague,clear,0.2327,biomarkers,65,MENTIONED,"further tests, diagnostic procedures",MENTIONED,
N34,Medical,Ultra-vague,clear,0.2327,imaging_findings,60,MENTIONED,imaging scans,MENTIONED,
N34,Medical,Ultra-vague,clear,0.2327,comorbidities,55,ABSENT,Not addressed,ABSENT,
N34,Medical,Ultra-vague,clear,0.2327,patient_demographics,50,RESOLVED,"young patient, pediatric leukemia",RESOLVED,
N34,Medical,Ultra-vague,clear,0.2327,lab_values,45,MENTIONED,blood tests,MENTIONED,
N34,Medical,Ultra-vague,clear,0.2327,treatment_plan,40,MENTIONED,"initial treatment planning, next steps",MENTIONED,
N34,Medical,Ultra-vague,clear,0.2327,follow_up_schedule,35,ABSENT,Not addressed,ABSENT,
N34,Medical,Ultra-vague,clear,0.2327,patient_preferences,30,ABSENT,Not addressed,ABSENT,
N34,Medical,Ultra-vague,clear,0.2327,contraindications,20,ABSENT,Not addressed,ABSENT,
N34,Medical,Ultra-vague,clear,0.2327,family_history,15,ABSENT,Not addressed,ABSENT,
N32,Medical,Ultra-vague,clear,0.0,primary_site,100,MENTIONED,Anatomical Site(s) for Biopsy,MENTIONED,
N32,Medical,Ultra-vague,clear,0.0,stage_classification,95,ABSENT,does not cover full cancer staging,ABSENT,
N32,Medical,Ultra-vague,clear,0.0,treatment_received,90,ABSENT,"does not cover full cancer staging, treatment planning",ABSENT,
N32,Medical,Ultra-vague,clear,0.0,histology_subtype,85,MENTIONED,receipt and notification of pathology results,MENTIONED,
N32,Medical,Ultra-vague,clear,0.0,performance_status,80,ABSENT,Not addressed,ABSENT,
N32,Medical,Ultra-vague,clear,0.0,response_to_treatment,75,ABSENT,"does not cover full cancer staging, treatment planning",ABSENT,
N32,Medical,Ultra-vague,clear,0.0,current_medications,70,MENTIONED,"past diagnoses, medications, allergies",MENTIONED,
N32,Medical,Ultra-vague,clear,0.0,biomarkers,65,ABSENT,Not addressed,ABSENT,
N32,Medical,Ultra-vague,clear,0.0,imaging_findings,60,MENTIONED,imaging reports; Radiology Department,MENTIONED,
N32,Medical,Ultra-vague,clear,0.0,comorbidities,55,MENTIONED,past diagnoses,MENTIONED,
